,Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Zip Codes,DELETE - Fire Prevention Districts,DELETE - Supervisor Districts,DELETE - Current Police Districts,DELETE - Supervisorial_Districts_Waterline_data_from_7pkg_wer3,apn,new_units
52887,201406097901,1,new construction,2014-06-09,3521,053A,33,,Norfolk,St,,,"to erect 5 stories, no basement, type v-a/i-a, 19 residential units and parking building. (r-2,s-2)** maher: disturbance of at least 50 cu.yd. of soild, route to dph **",issued,2019-06-26,2014-06-09,2019-06-26,,,,,5.0,,,2023-12-26,4887516.0,5300000.0,,,apartments,19.0,2.0,,,,1.0,constr type 1,Y,6.0,Mission,94103.0,"(37.77115790905996, -122.41385766559708)",1344647156746,32.0,1.0,10.0,20.0,28853.0,8.0,9.0,2.0,3.0,3521/053A,19.0
54283,201406138394,1,new construction,2014-06-13,0814,021,125,,Hayes,St,,,"erect 13 stories ,431 dwelling units.",complete,2018-09-27,2014-06-13,2016-05-23,2018-09-27,2016-11-15,,,14.0,,,2022-04-22,108000000.0,108000000.0,,,apartments,431.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94102.0,"(37.777168232394864, -122.41847184384113)",1346088452574,21.0,4.0,10.0,36.0,28852.0,7.0,9.0,6.0,3.0,0814/021,431.0
54282,201406138394,1,new construction,2014-06-13,0814,016,131,,Hayes,St,,,"erect 13 stories ,431 dwelling units.",complete,2018-09-27,2014-06-13,2016-05-23,2018-09-27,2016-11-15,,,14.0,,,2022-04-22,108000000.0,108000000.0,,,apartments,431.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94102.0,"(37.77715747106272, -122.4185728195608)",1346087452572,21.0,4.0,10.0,36.0,28852.0,7.0,9.0,6.0,3.0,0814/016,431.0
54281,201406138394,1,new construction,2014-06-13,0814,015,155,,Hayes,St,,,"erect 13 stories ,431 dwelling units.",complete,2018-09-27,2014-06-13,2016-05-23,2018-09-27,2016-11-15,,,14.0,,,2022-04-22,108000000.0,108000000.0,,,apartments,431.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94102.0,"(37.77709912861615, -122.41883965548587)",134608682086,21.0,4.0,10.0,36.0,28852.0,7.0,9.0,6.0,3.0,0814/015,431.0
54088,201406097901,1,new construction,2014-06-09,3521,093,33,,Norfolk,St,,,"to erect 5 stories, no basement, type v-a/i-a, 19 residential units and parking building. (r-2,s-2)** maher: disturbance of at least 50 cu.yd. of soild, route to dph **",issued,2019-06-26,2014-06-09,2019-06-26,,,,,5.0,,,2023-12-26,4887516.0,5300000.0,,,apartments,19.0,2.0,,,,1.0,constr type 1,Y,6.0,Mission,94103.0,"(37.77124228269926, -122.41399205190592)",1345886499163,32.0,1.0,10.0,20.0,28853.0,8.0,9.0,2.0,3.0,3521/093,19.0
115779,201507272485,1,new construction,2015-07-27,8711,021,626,,Mission Bay Blvd North,Bl,,,"construct (n) residential apartments, residential support spaces, retail & restaurant shell space",complete,2018-10-15,2015-07-27,2016-01-22,2018-10-15,2016-09-21,,,6.0,,,2021-12-21,48657306.0,48657306.0,,,apartments,143.0,2.0,,,,1.0,constr type 1,Y,6.0,Mission Bay,94158.0,"(37.77140196046573, -122.39177164654781)",1410100505696,34.0,1.0,10.0,4.0,310.0,14.0,9.0,3.0,3.0,8711/021,143.0
177184,201512145054,1,new construction,2015-12-14,4167,011,800,,Pennsylvania,Av,,,"to erect 8 stories, 1 basement, 256 residnetial, industrial building. (r-2,a-3,f-1,s-2)** maher: n/a **",issued,2017-05-18,2015-12-14,2017-05-18,,2017-11-15,,,8.0,,,2023-04-17,80000000.0,110000000.0,,,apartments,256.0,2.0,,,,1.0,constr type 1,Y,10.0,Potrero Hill,94107.0,"(37.75619678201157, -122.39362994919676)",1474153369748,54.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4167/011,256.0
53493,201406138394,1,new construction,2014-06-13,0814,014,150,,Van Ness,Av,,,"erect 13 stories ,431 dwelling units.",complete,2018-09-27,2014-06-13,2016-05-23,2018-09-27,2016-11-15,,,14.0,,,2022-04-22,108000000.0,108000000.0,,,apartments,431.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94102.0,"(37.77709519639324, -122.41925228754974)",134527182085,21.0,4.0,10.0,36.0,28852.0,7.0,9.0,6.0,3.0,0814/014,431.0
53268,201406128212,1,new construction,2014-06-12,0350,003,1066,,Market,St,,,"to erect 14 stories, 2 basement, 303 residential & retail building.(r-2,a-2,b,s-2)",complete,2020-11-19,2014-06-12,2017-11-29,2020-11-19,2018-04-24,,,14.0,,,2023-10-29,86400000.0,86400000.0,,,apartments,303.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94102.0,"(37.781760353688966, -122.41175412486129)",134504170096,20.0,5.0,10.0,36.0,28852.0,14.0,9.0,10.0,3.0,0350/003,303.0
53038,201406108024,1,new construction,2014-06-10,3504,030,1699,,Market,St,,,"to erect 9 stories, 1 basement, type ib, 160 residential, commercial & below grade parking building.",complete,2019-10-18,2014-06-10,2016-12-16,2019-10-18,2017-10-11,,,9.0,,,2022-11-15,38000000.0,52500000.0,,,apartments,160.0,2.0,,,,1.0,constr type 1,Y,6.0,Mission,94103.0,"(37.77217133890038, -122.421939261542)",1344801156230,32.0,1.0,10.0,20.0,28853.0,8.0,9.0,2.0,3.0,3504/030,160.0
152542,201612225735,1,new construction,2016-12-22,0717,003,719,,Larkin,St,,,"to erect 8 stories, no basement, type ib, 42 residential units with mixed used building.** maher: n/a **",complete,2019-07-15,2016-12-22,2017-12-20,2019-07-15,2018-03-05,,,8.0,,,2023-11-19,6000000.0,12000000.0,,,apartments,42.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94109.0,"(37.78454649507132, -122.41807225437344)",144841480432,20.0,5.0,10.0,36.0,28858.0,7.0,9.0,6.0,3.0,0717/003,42.0
262700,201711214504,1,new construction,2017-11-21,2749,045A,4545,,20th,St,,,"erect a 5-story, type 5a, 2 family dwelling units, residential bldg.",issued,2019-08-12,2017-11-21,2019-08-12,,,,,5.0,,,2022-02-12,1050000.0,1500000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,8.0,Castro/Upper Market,94114.0,"(37.75722246760108, -122.43870451841694)",1563507515772,115.0,3.0,5.0,5.0,28862.0,2.0,5.0,7.0,1.0,2749/045A,2.0
199476,201802161503,1,new construction,2018-02-16,3808,004,188,,Hooper,St,0.0,,"to erect 5 stories, no basement, type iii-b over i-a, 280 dwelling unit building for  residential student housing. (r-2,a-2,s-2) maher ordinance comply.",issued,2018-08-27,2018-02-16,2018-08-27,,2018-12-17,,,5.0,,,2025-12-19,28600000.0,32400000.0,,,apartments,280.0,3.0,,,,1.0,constr type 1,Y,10.0,Mission Bay,94107.0,"(37.76788970292302, -122.40030930828503)",1497450482245,33.0,1.0,9.0,4.0,28856.0,14.0,8.0,3.0,6.0,3808/004,280.0
48683,201404304554,1,new construction,2014-04-30,3736,190,41,,Tehama,St,,,"to erect 35 stories, 3 basement, 403 residential units with mix used & parking building. (r-2,b,a-3,m,h-3,s-2)",complete,2018-05-22,2014-04-30,2015-07-02,2018-05-22,2015-11-13,,,35.0,,,2021-05-31,60000000.0,106869000.0,,,apartments,403.0,2.0,,,,1.0,constr type 1,Y,6.0,Financial District/South Beach,94105.0,"(37.78726010664772, -122.3962642716701)",1340311497257,32.0,1.0,10.0,8.0,28855.0,6.0,9.0,2.0,3.0,3736/190,403.0
5977,201302119939,1,new construction,2013-02-11,4071,014,1914,,20th,St,,,"erect new 6 stories, 2 dwelling units building.",issued,2015-08-18,2013-02-11,2015-08-18,,,,,6.0,,,2018-08-02,1570000.0,1570000.0,,,2 family dwelling,2.0,2.0,,,,3.0,constr type 3,Y,10.0,Potrero Hill,94107.0,"(37.75999809970346, -122.40051374757476)",1295800453831,54.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4071/014,2.0
257041,201511041768,1,new construction,2015-11-04,3639,028,953,,Treat,Av,,,"building# 2. to erect 4 stories, no basement, 3 units residential building. lot 027 & lot 028 going to merge.** maher: compliance with ordinance no# 155-13 required; route to dph **",issued,2019-06-25,2015-11-04,2019-06-25,,2019-08-02,,,4.0,,,2022-06-09,686000.0,876000.0,,,apartments,3.0,2.0,,,,3.0,constr type 3,Y,9.0,Mission,94110.0,"(37.755080609120384, -122.41299612138998)",1557613502575,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,3639/028,3.0
228090,201611223357,1,new construction,2016-11-22,3999,015,249,,Pennsylvania,Av,,,"to erect 4 stories, one basement, 59 dwelling apartment & retail, standard car parking, no stackers** maher: exempted - approval from dph attached with plan. see a-07 **",issued,2018-10-10,2016-11-22,2018-10-10,,,,,4.0,,,2024-09-08,9000000.0,17000000.0,,,apartments,59.0,2.0,,,,1.0,constr type 1,Y,10.0,Potrero Hill,94107.0,"(37.76360831003604, -122.39338775355681)",1527404512146,54.0,2.0,9.0,26.0,28856.0,14.0,8.0,3.0,6.0,3999/015,59.0
257040,201511041768,1,new construction,2015-11-04,3639,028,951,,Treat,Av,,,"building# 2. to erect 4 stories, no basement, 3 units residential building. lot 027 & lot 028 going to merge.** maher: compliance with ordinance no# 155-13 required; route to dph **",issued,2019-06-25,2015-11-04,2019-06-25,,2019-08-02,,,4.0,,,2022-06-09,686000.0,876000.0,,,apartments,3.0,2.0,,,,3.0,constr type 3,Y,9.0,Mission,94110.0,"(37.755080609120384, -122.41299612138998)",1557612514930,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,3639/028,3.0
267024,201905241706,1,new construction,2019-05-24,6954,039,1830,,Alemany,Bl,,,"erect a 5 story,2 basement, 116 dwelling residential/apartment/office bldg type 3-a. **maher n/a**",issued,2019-09-16,2019-05-24,2019-09-16,,2020-01-10,,,5.0,,,2024-03-16,20000000.0,20000000.0,,,apartments,116.0,2.0,,,,3.0,constr type 3,Y,11.0,Outer Mission,94112.0,"(37.72292698801088, -122.43845947804684)",1568023515910,80.0,9.0,1.0,28.0,28861.0,9.0,6.0,4.0,8.0,6954/039,116.0
5976,201302119939,1,new construction,2013-02-11,4071,014,1912,,20th,St,,,"erect new 6 stories, 2 dwelling units building.",issued,2015-08-18,2013-02-11,2015-08-18,,,,,6.0,,,2018-08-02,1570000.0,1570000.0,,,2 family dwelling,2.0,2.0,,,,3.0,constr type 3,Y,10.0,Potrero Hill,94107.0,"(37.75999809970346, -122.40051374757476)",1295799453830,54.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4071/014,2.0
94983,201507141485,1,new construction,2015-07-14,4044,013,777,,Tennessee,St,,,"to erect 5 stories, 2 basements, 59 units residential & parking.",complete,2020-08-13,2015-07-14,2017-04-27,2020-08-13,2017-10-17,,,5.0,,,2023-03-27,16500000.0,22800000.0,,,apartments,59.0,2.0,,,,1.0,constr type 1,Y,10.0,Potrero Hill,94107.0,"(37.76202676616996, -122.38932447749545)",1388419169228,55.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4044/013,59.0
47900,201404223881,1,new construction,2014-04-22,0503,021,1463,,Lombard,St,,,to erect 4 stories 14 dwelling units type iiia .,complete,2018-07-26,2014-04-22,2016-07-25,2018-07-26,2016-12-29,,,4.0,,,2022-06-24,2100000.0,4000000.0,,,apartments,14.0,2.0,,,,3.0,constr type 3,Y,2.0,Marina,94123.0,"(37.800858879968295, -122.42549627969797)",133948672215,15.0,4.0,6.0,13.0,57.0,13.0,1.0,6.0,11.0,0503/021,14.0
180078,201709016686,1,new construction,2017-09-01,3596,032,233,,San Carlos,St,,,"to erect type 5, 4 story, 2 family residence, no basement. sprinklers under nfpa 13 under sep permit.",issued,2020-09-30,2017-09-01,2020-09-30,,,,,4.0,,,2022-09-30,150000.0,860000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,9.0,Mission,94110.0,"(37.759636206042046, -122.41974150011252)",1477174160797,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,3596/032,2.0
151899,201612165221,1,new construction,2016-12-16,3514,043,1601,,Mission,St,0.0,,"to erect 13 stories, 1 basement, type i-a, 220 residential units with retail & parking. (r-2,m,a-3,s-2)",issued,2019-04-04,2016-12-16,2019-04-04,,,,,13.0,,,2025-03-03,75000000.0,87840048.0,,,apartments,220.0,2.0,,,,1.0,constr type 1,Y,6.0,Mission,94103.0,"(37.77209007357145, -122.41879153605066)",1447741289084,32.0,1.0,10.0,20.0,28853.0,8.0,9.0,2.0,3.0,3514/043,220.0
93841,201507060668,1,new construction,2015-07-06,0857,007,95,,Laguna,St,,,"to erect 6 stories, no basement, 79 units residential senior center building.",complete,2020-07-02,2015-07-06,2016-05-27,2020-07-02,2017-06-23,,,6.0,,,2022-04-26,21000000.0,25000000.0,,,apartments,79.0,2.0,,,,3.0,constr type 3,Y,8.0,Hayes Valley,94102.0,"(37.77169720797708, -122.42614694838522)",1387343504394,27.0,4.0,5.0,9.0,28852.0,7.0,5.0,6.0,1.0,0857/007,79.0
242451,201412294587,1,new construction,2014-12-29,3732,028,980,,Folsom,St,,,"erect 8-story, 32 condo units above parking & commercial retail building. maher n/a.",issued,2019-02-27,2014-12-29,2019-02-27,,,,,8.0,,,2025-01-26,8500000.0,12700000.0,,,apartments,33.0,2.0,,,,1.0,constr type 1,Y,6.0,South of Market,94103.0,"(37.779016625094116, -122.40536411912424)",1542388514031,32.0,1.0,10.0,34.0,28853.0,14.0,9.0,2.0,3.0,3732/028,33.0
277505,201705035635,1,new construction,2017-05-03,2627,005,50,,Saturn,St,,,"erect 4-story, 1 basement, type 5, two family dwelling units building.",issued,2019-12-12,2017-05-03,2019-12-12,,,,,4.0,,,2021-12-12,600000.0,950000.0,,,2 family dwelling,2.0,2.0,,,,3.0,constr type 3,Y,8.0,Castro/Upper Market,94114.0,"(37.76289653245156, -122.44208674505236)",1578914516341,112.0,7.0,5.0,5.0,28862.0,15.0,5.0,8.0,1.0,2627/005,2.0
94340,201507080963,1,new construction,2015-07-08,3554,001,1900,,Mission,St,,,"erect 6-story building, type iiia over type ia, 11 dwelling units and (1) retail, with 1 basement.",issued,2019-09-19,2015-07-08,2019-09-19,,,,,6.0,,,2023-06-19,2772350.0,3500000.0,,,apartments,11.0,2.0,,,,3.0,constr type 3,Y,9.0,Mission,94103.0,"(37.7665356358995, -122.42010870130697)",1387755158061,53.0,3.0,2.0,20.0,28853.0,8.0,7.0,7.0,7.0,3554/001,11.0
112242,201512145054,1,new construction,2015-12-14,4167,013,1395,,22nd,St,,,"to erect 8 stories, 1 basement, 256 residnetial, industrial building. (r-2,a-3,f-1,s-2)** maher: n/a **",issued,2017-05-18,2015-12-14,2017-05-18,,2017-11-15,,,8.0,,,2023-04-17,80000000.0,110000000.0,,,apartments,256.0,2.0,,,,1.0,constr type 1,Y,10.0,Potrero Hill,94107.0,"(37.756961278246415, -122.39474652720875)",1406420289308,54.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4167/013,256.0
54394,201406239109,1,new construction,2014-06-23,4022,001,2000,,Bryant,St,,,"erect 6-story, no basemeny, type 3a over 1a, 194 dwelling units residential/retail building (r-2, m, b, s-2). comply maher ord #155-13.",complete,2020-12-22,2014-06-23,2017-07-27,2020-12-22,2018-01-25,,,6.0,,,2023-06-26,50000000.0,50000000.0,,,apartments,194.0,2.0,,,,1.0,constr type 1,Y,9.0,Mission,94110.0,"(37.761499537089676, -122.41058132916983)",1346204168810,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,4022/001,194.0
135218,201607152516,1,new construction,2016-07-15,2081,001,3701,,Noriega,St,,,"to erect 3-story, 2 basement, 12 units condo, type ia, retail, parking building.** maher: disturbance of at least 50 cu.yd.of soil; route to dph **",issued,2018-06-04,2016-07-15,2018-06-04,,2018-12-17,,,3.0,,,2024-05-03,2500000.0,12500000.0,,,apartments,12.0,2.0,,,,1.0,constr type 1,Y,4.0,Sunset/Parkside,94122.0,"(37.752807918700285, -122.50357296046484)",1430263124987,39.0,10.0,7.0,35.0,56.0,1.0,3.0,5.0,4.0,2081/001,12.0
60145,201408133766,1,new construction,2014-08-13,8715,004,110,,Channel,,,,"to erect 6 stories, 1 basement, 152 residential apartment, office, retail & parking building.** maher: compliance with ordinance no# 155-13 required **",complete,2020-11-20,2014-08-13,2015-08-04,2020-11-20,2020-11-19,,,6.0,,,2021-07-03,50000000.0,50000000.0,,,apartments,152.0,2.0,,,,1.0,constr type 1,Y,6.0,Mission Bay,94158.0,"(37.77524171103875, -122.39086761950098)",1352193500322,34.0,1.0,10.0,4.0,310.0,14.0,9.0,3.0,3.0,8715/004,152.0
60097,201408133730,1,new construction,2014-08-13,0156,036,160,,Bernard,St,,,erect 4 stories for  2 dwelling units.,complete,2019-06-03,2014-08-13,2017-01-13,2019-06-03,2017-05-05,,,4.0,,,2019-12-29,675000.0,1105350.0,,,2 family dwelling,2.0,2.0,,,,3.0,constr type 3,Y,3.0,Nob Hill,94109.0,"(37.7963282149012, -122.41605980354588)",1352144497456,107.0,6.0,3.0,21.0,28858.0,5.0,10.0,1.0,2.0,0156/036,2.0
135490,201607192730,1,new construction,2016-07-19,3542,041,2100,,Market,St,,,"to erect 7 stories, no basement, 60 units residential with mix use type 1 construction.",issued,2016-12-29,2016-07-19,2016-12-29,,2017-02-24,,,7.0,,,2022-11-28,12520000.0,17303000.0,,,apartments,60.0,2.0,,,,1.0,constr type 1,Y,8.0,Castro/Upper Market,94114.0,"(37.76747120637114, -122.42941279360369)",1430544157580,28.0,7.0,5.0,5.0,28862.0,7.0,5.0,6.0,1.0,3542/041,60.0
229574,201802211851,1,new construction,2018-02-21,4022,028,681,,Florida,St,,,"priority plan review project. to erect a 9-story, 130 residential dwelling unit with 1 basement.",issued,2018-10-23,2018-02-21,2018-10-23,,2020-10-21,,,9.0,,,2024-09-21,38100000.0,40000000.0,,,apartments,130.0,2.0,,,,1.0,constr type 1,Y,9.0,Mission,94110.0,"(37.760882131502946, -122.41052127153428)",1528962512600,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,4022/028,130.0
173977,201707172085,1,new construction,2017-07-17,0350,002,1028,,Market,St,,,construct (n) 13-story mixed-use building r2 and m,issued,2018-12-07,2017-07-17,2018-12-07,,2019-10-18,,,13.0,,,2024-11-05,60000000.0,60000000.0,,,apartments,186.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94102.0,"(37.78184234766227, -122.41128926715626)",147081370095,20.0,5.0,10.0,36.0,28852.0,14.0,9.0,10.0,3.0,0350/002,186.0
89397,201505227051,1,new construction,2015-05-22,0105,065,115,,Telegraph Hill,Bl,,,"to erect 3 stories, 2 basements, type i/v b,  3 units residential building.",issued,2016-08-10,2015-05-22,2016-08-10,,2017-04-10,,,4.0,,,2022-07-10,4750000.0,4750000.0,,,apartments,3.0,2.0,,,,1.0,constr type 1,Y,3.0,North Beach,94133.0,"(37.801586638491266, -122.40575666283002)",1382598380386,18.0,6.0,3.0,23.0,308.0,3.0,10.0,1.0,2.0,0105/065,3.0
270124,201910083919,1,new construction,2019-10-08,4591C,215,351,,Friedell,St,,,"100% affordable housing at hunter's point ship yard, erect a five stories 67 residential units type 1 max use building.",issued,2020-04-23,2019-10-08,2020-04-23,,,,,5.0,,,,28000000.0,28000000.0,,,apartments,67.0,2.0,,,,1.0,constr type 1,Y,10.0,Bayview Hunters Point,94124.0,"(37.72750580240472, -122.37032422913174)",1571250516000,78.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4591C/215,67.0
270113,201910083908,1,new construction,2019-10-08,4591C,204,151,,Friedell,St,,,"100% affordable housing at hunter's point ship yard, erect a five stories 45 units type 1 construction residential building.",issued,2020-04-23,2019-10-08,2020-04-23,,,,,5.0,,,,20000000.0,20000000.0,,,apartments,45.0,2.0,,,,1.0,constr type 1,Y,10.0,Bayview Hunters Point,94124.0,"(37.72887278294528, -122.36941284123186)",1571239515999,78.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4591C/204,45.0
118320,201602179763,1,new construction,2016-02-17,3753,081,345,,06th,St,,,"to erect 9-story, 102 dwelling units apartment, parking, retail, mix use building. n/a for maher ordinance no.155-13.",complete,2020-11-03,2016-02-17,2017-04-05,2020-11-03,2017-12-07,,,9.0,,,2023-03-05,6000000.0,6000000.0,,,apartments,102.0,2.0,,,,1.0,constr type 1,Y,6.0,South of Market,94107.0,"(37.77816488794737, -122.40467739884282)",1412708166219,32.0,1.0,10.0,34.0,28856.0,14.0,9.0,2.0,3.0,3753/081,102.0
