Permit Number	Permit Type	Permit Subtype	Status	Description	Site Address	Site APN	Applied Date	Issued Date	Finaled Date
2015-664288	DEMOLITION	SWIMMING POOL	ISSUED	Pool Demo	1615 ALEXANDER WY	31820072	4/3/2015	4/3/2015	NULL
2015-664292	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	179 ARBUELO WY	17015023	4/6/2015	4/6/2015	4/13/2015
2015-664294	PHOTOVOLTAIC	NULL	ISSUED	PV-Cancel	938 CLINTON RD	18913032	4/6/2015	4/6/2015	NULL
2015-664301	SFD	NULL	FINALED	New SFD-SW	582 GLEN ALTO DR	18959006	4/7/2015	6/18/2015	2/3/2016
2015-664308	SFD	NULL	FINALED	New SFD	1651 JOLLY CT	31801027	4/7/2015	8/12/2015	12/13/2016
2015-664309	DEMOLITION	PARTIAL	FINALED	Partial Demo	1564 WISTARIA LN	34202025	4/7/2015	4/7/2015	5/5/2015
2015-664310	PHOTOVOLTAIC	NULL	FINALED	PV BatteryBackUp	1479 HOLT AV	31812019	4/8/2015	4/8/2015	4/29/2015
2015-664335	DEMOLITION	PARTIAL	FINALED	Partial Demo	958 CLINTON RD	18913034	4/10/2015	4/10/2015	5/7/2015
2015-664337	PHOTOVOLTAIC	NULL	FINALED	PV	1202 WOODVIEW TR	34239006	4/13/2015	4/13/2015	6/1/2015
2015-664350	SFD	NULL	FINALED	New SFD	872 CLINTON RD	18913026	4/14/2015	9/8/2015	1/18/2017
2015-664352	SFD	NULL	FINALED	New SFD	208 LYELL ST	17037011	4/15/2015	6/22/2015	2/5/2016
2015-664357	DEMOLITION	PARTIAL	FINALED	Partial Demo	425 E EDITH AV	17030003	4/15/2015	4/15/2015	4/27/2015
2015-664363	SFD	NULL	FINALED	New SFD	661 PARMA WY	18940043	4/15/2015	12/15/2015	9/7/2017
2015-664367	PHOTOVOLTAIC	NULL	FINALED	PV	930 O'DELL WY	19327013	4/16/2015	4/16/2015	6/3/2015
2015-664368	DEMOLITION	NULL	ISSUED	Demo	932 PARMA WY	18941065	4/16/2015	4/16/2015	NULL
2015-664370	PHOTOVOLTAIC	NULL	FINALED	PV	1731 LARKELLEN LN	19704017	4/16/2015	4/16/2015	6/15/2015
2015-664377	DEMOLITION	PARTIAL	FINALED	Partial Demo	128 E EDITH AV	17042020	4/17/2015	4/17/2015	5/6/2015
2015-664385	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	1076 E ROSE CR	19331006	4/20/2015	4/20/2015	5/21/2015
2015-664393	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	181 YERBA SANTA AV	16727001	4/21/2015	4/21/2015	10/16/2015
2015-664399	PHOTOVOLTAIC	NULL	FINALED	PV	1665 CLAY DR	31820080	4/21/2015	4/21/2015	8/6/2015
2015-664404	PHOTOVOLTAIC	NULL	FINALED	PV	419 FREMONT AV	18947028	4/22/2015	4/22/2015	6/23/2015
2015-664405	PHOTOVOLTAIC	NULL	FINALED	PV	777 LOS ALTOS AV	16721019	4/22/2015	4/22/2015	5/13/2015
2015-664406	PHOTOVOLTAIC	NULL	FINALED	PV	1665 FALLEN LEAF LN	31821054	4/22/2015	4/22/2015	5/13/2015
2015-664417	DEMOLITION	NULL	FINALED	Demo 	208 LYELL ST	17037011	4/23/2015	4/23/2015	6/5/2015
2015-664419	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	622 BENVENUE AV	18938038	4/24/2015	4/24/2015	6/5/2015
2015-664425	DEMOLITION	NULL	FINALED	Demolition	357 FREMONT AV	18947032	4/27/2015	4/27/2015	5/22/2015
2015-664431	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	895 LOCKHAVEN DR	34211175	4/27/2015	4/27/2015	5/8/2015
2015-664432	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	1988 FALLEN LEAF LN	31823031	4/27/2015	4/27/2015	5/20/2015
2015-664433	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	1071 COVINGTON RD	19328001	4/27/2015	4/27/2015	5/13/2015
2015-664434	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	100 YERBA BUENA AV	16729019	4/27/2015	4/27/2015	5/20/2015
2015-664436	DEMOLITION	PARTIAL	FINALED	Partial Demo	375 BENVENUE AV	18953036	4/28/2015	4/28/2015	5/1/2015
2015-664437	DEMOLITION	NULL	FINALED	Demo	1043 LOS ALTOS AV	16713051	4/28/2015	4/28/2015	5/15/2015
2015-664449	PHOTOVOLTAIC	NULL	ISSUED	Photovoltaic-Cancel	615 CAMELLIA WY	18935023	4/30/2015	4/30/2015	NULL
2015-664458	PHOTOVOLTAIC	NULL	FINALED	PV (Addition)	15 N EL MONTE AV	18935027	5/4/2015	5/4/2015	5/29/2015
2015-664464	DEMOLITION	PARTIAL	FINALED	Partial Demo	1225 PORTLAND AV	19333023	5/4/2015	5/4/2015	5/13/2015
2015-664465	SFD	NULL	FINALED	New SFD	1325 OAKHURST AV	19339036	5/4/2015	6/16/2015	4/13/2016
2015-664476	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	2051 LONGDEN CR	34210085	5/6/2015	5/6/2015	6/2/2015
2015-664479	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	610 JAY ST	17032007	5/6/2015	5/6/2015	5/14/2015
2015-664494	PHOTOVOLTAIC	NULL	FINALED	PV	1450 REDWOOD DR	34234021	5/7/2015	5/7/2015	6/3/2015
2015-664499	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	774 VISTA GRANDE AV	18929071	5/8/2015	5/8/2015	6/18/2015
2015-664502	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	1941 DEODARA DR	34225022	5/8/2015	5/8/2015	6/1/2015
2015-664507	DEMOLITION	PARTIAL	FINALED	Partial Demo	4940 EL CAMINO REAL	17003083	5/12/2015	5/12/2015	6/17/2015
2015-664508	DEMOLITION	PARTIAL	FINALED	Partial Demo	1675 JUAREZ AV	31809021	5/12/2015	5/12/2015	6/8/2015
2015-664512	PHOTOVOLTAIC	NULL	FINALED	PV	1595 SIESTA DR	19717070	5/13/2015	5/13/2015	6/8/2015
2015-664514	PHOTOVOLTAIC	NULL	FINALED	PV	646 DISTEL DR	17011070	5/13/2015	5/13/2015	6/2/2015
2015-664521	DEMOLITION	PARTIAL	FINALED	Partial Demo	977 CLINTON RD	18913011	5/14/2015	5/14/2015	5/18/2015
2015-664527	DEMOLITION	NULL	FINALED	Demo	582 GLEN ALTO DR	18959006	5/14/2015	5/14/2015	6/18/2015
2015-664530	PHOTOVOLTAIC	NULL	FINALED	PV	1190 PAYNE DR	19338021	5/15/2015	5/15/2015	1/22/2016
2015-664535	PHOTOVOLTAIC	NULL	FINALED	PV	405 MONTEREY PL	17511018	5/18/2015	5/18/2015	6/2/2015
2015-664538	PHOTOVOLTAIC	NULL	FINALED	PV	1389 PRITCHETT CT	19719024	5/18/2015	5/18/2015	6/29/2015
2015-664542	DEMOLITION	PARTIAL	FINALED	Partial Demo	1433 RAVENSWOOD DR	19704055	5/19/2015	5/19/2015	5/27/2015
2015-664543	PHOTOVOLTAIC	NULL	FINALED	PV	850 ARROYO RD	18929017	5/19/2015	5/19/2015	7/6/2015
2015-664544	PHOTOVOLTAIC	NULL	ISSUED	PV-Cancelled	1273 ST MARK CT	34239027	5/19/2015	5/19/2015	NULL
2015-664549	DEMOLITION	NULL	FINALED	Demo	1986 FARNDON AV	31815041	5/19/2015	5/19/2015	6/4/2015
2015-664553	PHOTOVOLTAIC	NULL	FINALED	PV	465 HEATHER CT	16725010	5/20/2015	5/20/2015	6/5/2015
2015-664556	PHOTOVOLTAIC	NULL	FINALED	PV	1974 FARNDON AV	31815039	5/21/2015	5/21/2015	6/18/2015
2015-664557	PHOTOVOLTAIC	NULL	ISSUED	PV-Cancelled	1679 JONES LN	31823032	5/21/2015	5/21/2015	NULL
2015-664565	DEMOLITION	NULL	ISSUED	Int. Demo	4 MAIN ST	16738031	5/26/2015	5/26/2015	NULL
2015-664566	DEMOLITION	PARTIAL	FINALED	Partial Demo	205 E EDITH AV	17025037	5/26/2015	5/26/2015	5/29/2015
2015-664568	PHOTOVOLTAIC	NULL	FINALED	PV Addition	1580 OAKHURST AV	19340023	5/26/2015	5/26/2015	7/9/2015
2015-664571	SFD	NULL	FINALED	New SFD	1841 ALFORD AV	31818008	5/26/2015	7/22/2015	4/29/2016
2015-664573	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	199 FIRST ST	16739039	5/26/2015	5/26/2015	8/12/2015
2015-664577	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	713 ARROYO RD	18929033	5/27/2015	5/27/2015	9/30/2016
2015-664583	SFD	NULL	FINALED	New SFD	1413 RANCHITA DR	19718007	5/27/2015	9/8/2015	12/20/2016
2015-664589	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	1347 GARTHWICK DR	19717040	5/28/2015	5/28/2015	6/4/2015
2015-664600	PHOTOVOLTAIC	NULL	FINALED	PV	1175 ORILLA CT	16710023	6/1/2015	6/1/2015	7/7/2015
2015-664601	PHOTOVOLTAIC	NULL	FINALED	PV	338 CUESTA DR	18951012	6/1/2015	6/1/2015	6/30/2015
2015-664603	PHOTOVOLTAIC	NULL	FINALED	PV	722 ARROYO RD	18929003	6/1/2015	6/1/2015	7/17/2015
2015-664611	DEMOLITION	PARTIAL	FINALED	Partial Demo	601 GUADALUPE DR	16742012	6/2/2015	6/2/2015	6/17/2015
2015-664612	PHOTOVOLTAIC	NULL	ISSUED	Photovoltaic	1030 ESTRELLITA WY	16714003	6/2/2015	6/2/2015	NULL
2015-664623	PHOTOVOLTAIC	NULL	ISSUED	Photovoltaic-Abandon	67 ARBUELO WY	17015033	6/2/2015	6/2/2015	NULL
2015-664626	DEMOLITION	PARTIAL	FINALED	Partial Demo	580 ROSITA AV	18941002	6/3/2015	6/3/2015	6/4/2015
2015-664628	SFD	NULL	FINALED	SFD	1230 LARNEL PL	34208008	6/3/2015	8/26/2015	4/25/2016
2015-664629	DEMOLITION	NULL	FINALED	Demolition	258 MERRITT RD	17024033	6/3/2015	6/3/2015	6/12/2015
2015-664633	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	275 VERNAL CT	16724026	6/4/2015	6/4/2015	7/17/2015
2015-664638	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	300 LOS ALTOS AV	16733023	6/4/2015	6/4/2015	7/6/2015
2015-664640	DEMOLITION	PARTIAL	FINALED	Partial Demo	581 VAN BUREN ST	16720057	6/4/2015	6/4/2015	6/8/2015
2015-664642	DEMOLITION	NULL	FINALED	Demolition	156 N AVALON DR	17029054	6/4/2015	6/4/2015	6/15/2015
2015-664645	DEMOLITION	NULL	FINALED	Demoliton	1841 ALFORD AV	31818008	6/5/2015	6/5/2015	6/15/2015
2015-664646	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	235 MARVIN AV	17027007	6/5/2015	6/5/2015	6/29/2015
2015-664653	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	258 MERRITT RD	17024033	6/8/2015	6/8/2015	6/12/2015
2015-664654	SFD	NULL	FINALED	New SFD	480 ROSITA AV	18950043	6/8/2015	10/12/2015	1/3/2017
2015-664661	PHOTOVOLTAIC	NULL	FINALED	PV	251 LOUCKS AV	16713010	6/9/2015	6/9/2015	6/19/2015
2015-664663	SFD	NULL	FINALED	New SFD	847 CLINTON RD	18913023	6/9/2015	9/29/2015	7/22/2016
2015-664667	DEMOLITION	NULL	FINALED	Demo Permit	1251 S SPRINGER RD	18917005	6/10/2015	6/10/2015	6/15/2015
2015-664670	DEMOLITION	NULL	FINALED	Demo	1424 GRANT RD	19335017	6/10/2015	6/10/2015	6/29/2015
2015-664677	PHOTOVOLTAIC	NULL	FINALED	PV	540 LOS ALTOS AV	16742004	6/11/2015	6/11/2015	8/20/2015
2015-664678	PHOTOVOLTAIC	NULL	FINALED	PV	980 STANLEY AV	18911038	6/11/2015	6/11/2015	10/9/2015
2015-664687	PHOTOVOLTAIC	NULL	FINALED	PV	930 SEENA AV	18920003	6/12/2015	6/12/2015	8/7/2015
2015-664692	PHOTOVOLTAIC	NULL	FINALED	PV	1430 HIGHLAND VIEW CT	34207056	6/15/2015	6/15/2015	7/17/2015
2015-664695	DEMOLITION	NULL	FINALED	Demo	132 DEL MONTE AV	16717039	6/15/2015	6/15/2015	6/29/2015
2015-664699	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	1423 RANCHITA DR	19718004	6/16/2015	6/16/2015	9/4/2015
2015-664709	DEMOLITION	PARTIAL	FINALED	Parital Demo	1503 JULIE LN	19716042	6/17/2015	6/17/2015	6/18/2015
2015-664713	PHOTOVOLTAIC	NULL	FINALED	PV	1176 RICHARDSON AV	31802011	6/18/2015	6/18/2015	7/21/2015
2015-664724	SFD	NULL	FINALED	SFD	192 ELEANOR AV	17041028	6/18/2015	9/9/2015	9/9/2016
2015-664738	SFD	NULL	FINALED	New SFD	1435 RICHARDSON AV	31808001	6/22/2015	10/8/2015	11/7/2017
2015-664739	SFD	NULL	FINALED	SFD	643 MILVERTON RD	17519006	6/22/2015	9/10/2015	2/14/2018
2015-664741	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	576 DEODARA DR	34203003	6/22/2015	6/22/2015	6/29/2015
2015-664748	PHOTOVOLTAIC	NULL	ISSUED	Photovoltaic-Cancel	841 LOS ALTOS AV	16718083	6/23/2015	6/23/2015	NULL
2015-664749	PHOTOVOLTAIC	NULL	ISSUED	PV-canceled	480 PANCHITA WY	17047036	6/23/2015	6/23/2015	NULL
2015-664773	PHOTOVOLTAIC	NULL	FINALED	PV	1643 RANDOLPH PARKWAY	31808026	6/29/2015	6/29/2015	8/12/2015
2015-664774	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	290 N EL MONTE AV	17020074	6/29/2015	6/29/2015	7/30/2015
2015-664782	DEMOLITION	PARTIAL	FINALED	Partial Demo	321 SOLANA DR	17021034	6/30/2015	6/30/2015	9/18/2015
2015-664783	DEMOLITION	PARTIAL	FINALED	Partial Demo	1534 WESSEX AV	19716018	6/30/2015	6/30/2015	7/15/2015
2015-664794	PHOTOVOLTAIC	NULL	FINALED	PV	411 MUNDELL WY	16714073	7/1/2015	7/1/2015	7/14/2015
2015-664795	PHOTOVOLTAIC	NULL	FINALED	PV	637 LINDEN AV	16723075	7/1/2015	7/1/2015	7/22/2015
2015-664798	SFD	NULL	FINALED	New SFD	857 SANTA RITA AV	16718069	7/1/2015	8/31/2015	4/22/2016
2015-664804	PHOTOVOLTAIC	NULL	FINALED	PV	1061 SUFFOLK WY	19345003	7/6/2015	7/6/2015	8/27/2015
2015-664806	PHOTOVOLTAIC	NULL	ISSUED	PV	615 MILVERTON RD	17519009	7/6/2015	7/6/2015	NULL
2015-664807	PHOTOVOLTAIC	NULL	FINALED	PV	151 MOUNTAIN VIEW AV	18903006	7/6/2015	7/6/2015	9/18/2015
2015-664810	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	650 COVINGTON RD	18945017	7/6/2015	7/6/2015	8/27/2015
2015-664813	PHOTOVOLTAIC	NULL	FINALED	PV	230 PINE LN	16727009	7/7/2015	7/7/2015	8/19/2015
2015-664819	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	441 E EDITH AV	17030002	7/7/2015	7/7/2015	7/21/2015
2015-664820	SFD	NULL	FINALED	New SFD	315 QUINNHILL AV	33644036	7/7/2015	9/24/2015	5/9/2016
2015-664837	PHOTOVOLTAIC	NULL	FINALED	PV-2015	1622 KENSINGTON AV	31801015	7/10/2015	7/10/2015	8/5/2015
2015-664842	DEMOLITION	PARTIAL	FINALED	Partial Demo	51 SEVILLA DR	17016033	7/10/2015	7/10/2015	8/13/2015
2015-664843	PHOTOVOLTAIC	NULL	ISSUED	PV-duplicate	67 YERBA BUENA AV	16729006	7/10/2015	7/10/2015	NULL
2015-664848	SFD	NULL	FINALED	New SFD	242 N CLARK AV	17021071	7/10/2015	9/25/2015	11/4/2016
2015-664852	PHOTOVOLTAIC	NULL	FINALED	PV	692 MEADOW LN	16725016	7/13/2015	7/13/2015	7/23/2015
2015-664863	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	67 YERBA BUENA AV	16729006	7/15/2015	7/15/2015	8/3/2015
2015-664871	PHOTOVOLTAIC	NULL	FINALED	PV	1676 CHRISTINA DR	31821047	7/16/2015	7/16/2015	7/28/2015
2015-664872	PHOTOVOLTAIC	NULL	FINALED	PV 2015	379 HAWTHORNE AV	17028059	7/16/2015	7/16/2015	7/29/2015
2015-664882	DEMOLITION	NULL	FINALED	Demo	1651 JOLLY CT	31801027	7/16/2015	7/16/2015	8/7/2015
2015-664885	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	591 HOLLINGSWORTH DR	17020035	7/17/2015	7/17/2015	8/18/2015
2015-664888	DEMOLITION	NULL	FINALED	Demoliton	1290 ALTAMEAD DR	19332014	7/17/2015	7/17/2015	7/24/2015
2015-664889	DEMOLITION	PARTIAL	FINALED	Partial Demo	265 PINE LN	16724012	7/17/2015	7/17/2015	7/21/2015
2015-664895	DEMOLITION	PARTIAL	FINALED	Partial Demo	1111 BRIARWOOD CT	18944021	7/21/2015	7/21/2015	9/1/2015
2015-664896	PHOTOVOLTAIC	NULL	FINALED	PV	35 MAYER CT	18935029	7/21/2015	7/21/2015	8/4/2015
2015-664902	PHOTOVOLTAIC	NULL	FINALED	PV	486 CASITA WY	17018018	7/22/2015	7/22/2015	8/7/2015
2015-664913	DEMOLITION	PARTIAL	FINALED	Partial Demo	917 STANLEY AV	18911031	7/27/2015	7/27/2015	10/21/2015
2015-664917	PHOTOVOLTAIC	NULL	ISSUED	PV-canceled	1409 RANCHITA DR	19718008	7/27/2015	7/27/2015	NULL
2015-664918	PHOTOVOLTAIC	NULL	ISSUED	PV(SC)-Cancel	2245 SYCAMORE CT	34223012	7/27/2015	7/27/2015	NULL
2015-664919	PHOTOVOLTAIC	NULL	FINALED	PV	1335 GRANT RD	19719067	7/27/2015	7/27/2015	8/17/2015
2015-664928	SFD	NULL	FINALED	New 2 Story SFD	1977 CHURTON AV	31815025	7/28/2015	1/27/2016	5/9/2017
2015-664931	SFD	NULL	FINALED	New SFD	1651 HAVENHURST DR	19703001	7/28/2015	10/21/2015	8/16/2016
2015-664932	DEMOLITION	NULL	FINALED	Demo	643 MILVERTON RD	17519006	7/29/2015	7/29/2015	9/10/2015
2015-664938	PHOTOVOLTAIC	NULL	FINALED	PV	1049 COVINGTON RD	19328003	7/30/2015	7/30/2015	10/15/2015
2015-664941	PHOTOVOLTAIC	NULL	FINALED	PV	1570 WAKEFIELD TR	19715044	7/30/2015	7/30/2015	10/5/2015
2015-664943	DEMOLITION	NULL	FINALED	Demo	444 MUNDELL WY	16714031	7/30/2015	8/3/2015	8/10/2015
2015-664945	PHOTOVOLTAIC	NULL	PERMIT EXPIRED	PV	246 COVINGTON RD	18948017	7/31/2015	7/31/2015	NULL
2015-664946	DEMOLITION	NULL	FINALED	Demo	1651 HAVENHURST DR	19703001	7/31/2015	7/31/2015	10/20/2015
2015-664950	DEMOLITION	NULL	FINALED	Demo	242 N CLARK AV	17021071	7/31/2015	7/31/2015	9/24/2015
2015-664961	SFD	NULL	FINALED	New SFD	1534 WESSEX AV	19716018	8/3/2015	8/27/2015	5/10/2016
2015-664972	PHOTOVOLTAIC	NULL	FINALED	PV	106 SUNKIST LN	17029029	8/4/2015	8/4/2015	10/29/2015
2015-664980	PHOTOVOLTAIC	NULL	FINALED	PV	560 LOS ALTOS AV	16742003	8/6/2015	8/6/2015	10/12/2015
2015-664983	PHOTOVOLTAIC	NULL	FINALED	PV	341 RICHELIEU CT	17023024	8/6/2015	8/6/2015	9/18/2015
2015-664996	PHOTOVOLTAIC	NULL	ISSUED	PV	453 CYPRESS DR	17511023	8/10/2015	8/10/2015	NULL
2015-665001	DEMOLITION	NULL	FINALED	Demo	192 ELEANOR AV	17041028	8/10/2015	8/10/2015	9/4/2015
2015-665003	PHOTOVOLTAIC	NULL	FINALED	PV	905 S SPRINGER RD	18920052	8/11/2015	8/11/2015	1/29/2016
2015-665005	DEMOLITION	NULL	FINALED	Demo	460 HEATHER CT	16725008	8/11/2015	8/11/2015	9/4/2015
2015-665008	DEMOLITION	NULL	FINALED	Demo	872 CLINTON RD	18913026	8/11/2015	8/12/2015	9/4/2015
2015-665015	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	1265 ESTATE DR	19336023	8/12/2015	8/12/2015	10/20/2015
2015-665016	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	1270 CARMEL TR	19343029	8/12/2015	8/12/2015	10/2/2015
2015-665018	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	1871 AUSTIN AV	31812047	8/12/2015	8/12/2015	8/27/2015
2015-665034	DEMOLITION	SWIMMING POOL	FINALED	Swp Demo	996 CROOKED CREEK DR	34210033	8/14/2015	8/14/2015	8/19/2016
2015-665039	DEMOLITION	NULL	FINALED	Demolition	1230 LARNEL PL	34208008	8/14/2015	8/14/2015	8/24/2015
2015-665040	DEMOLITION	SWIMMING POOL	FINALED	Swp Demo	1230 LARNEL PL	34208008	8/14/2015	8/14/2015	8/24/2015
2015-665041	DEMOLITION	NULL	FINALED	Demolition	857 SANTA RITA AV	16718069	8/14/2015	8/14/2015	8/28/2015
2015-665051	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	86 THIRD ST	16739131	8/17/2015	6/28/2016	8/9/2016
2015-664977	DEMOLITION	PARTIAL	ISSUED	Partial Demo	736 PANCHITA WY	17011053	8/17/2015	8/5/2015	NULL
2015-665067	DEMOLITION	NULL	FINALED	Demo	1489 HOLT AV	31812017	8/20/2015	8/20/2015	9/1/2015
2015-665071	PHOTOVOLTAIC	NULL	FINALED	PV 2015	618 ORANGE AV	17516021	8/21/2015	8/21/2015	8/27/2015
2015-665072	PHOTOVOLTAIC	NULL	FINALED	PV	841 LOS ALTOS AV	16718083	8/21/2015	8/21/2015	1/7/2016
2015-665073	PHOTOVOLTAIC	NULL	FINALED	PV	1390 MCKENZIE AV	19341005	8/21/2015	8/21/2015	10/12/2015
2015-665077	PHOTOVOLTAIC	NULL	FINALED	PV	989 STANLEY AV	18911024	8/24/2015	8/24/2015	9/25/2015
2015-665081	PHOTOVOLTAIC	NULL	ABANDONED	PV-ABANDON	622 HAWTHORNE AV	18937016	8/25/2015	8/25/2015	NULL
2015-665090	DEMOLITION	PARTIAL	FINALED	Partial Demo	483 DISTEL DR	17018007	8/26/2015	8/26/2015	9/2/2015
2015-665093	DEMOLITION	NULL	FINALED	Demo	1413 RANCHITA DR	19718007	8/26/2015	8/26/2015	9/8/2015
2015-665096	DEMOLITION	NULL	FINALED	Demo	663 JAY ST	17020080	8/27/2015	8/27/2015	9/9/2015
2015-665112	PHOTOVOLTAIC	NULL	FINALED	PV	49 S AVALON DR	17034012	8/31/2015	8/31/2015	10/2/2015
2015-665116	PHOTOVOLTAIC	NULL	ISSUED	PV	348 TOYON AV	16733030	8/31/2015	8/31/2015	NULL
2015-665118	PHOTOVOLTAIC	NULL	FINALED	PV	1124 FREMONT AV	31801014	8/31/2015	8/31/2015	12/22/2015
2015-665132	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	452 W UNIVERSITY AV	17513054	9/1/2015	9/1/2015	3/25/2016
2015-665133	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	479 LA PRENDA RD	18950048	9/1/2015	9/1/2015	11/24/2015
2015-665135	DEMOLITION	SWIMMING POOL	ISSUED	Swp Demo	1190 BUCKINGHAM DR	19344006	9/1/2015	9/1/2015	NULL
2015-665137	SFD	NULL	ISSUED	SFD-2015	71 ANGELA DR	17043041	9/2/2015	11/16/2015	NULL
2015-665138	PHOTOVOLTAIC	NULL	FINALED	PV	1540 MORTON AV	31810034	9/2/2015	9/2/2015	9/24/2015
2015-665139	SFD	NULL	FINALED	New SFD	540 DEODARA DR	34203005	9/2/2015	11/4/2015	9/29/2017
2015-665144	DEMOLITION	PARTIAL	FINALED	Partial Demo	47 ALMA CT	16728032	9/3/2015	9/3/2015	9/22/2015
2015-665168	DEMOLITION	PARTIAL	FINALED	Partial Demo	2226 DEODARA DR	34202038	9/3/2015	9/3/2015	9/24/2015
2015-665173	DEMOLITION	NULL	ISSUED	Demo	847 CLINTON RD	18913023	9/4/2015	9/4/2015	NULL
2015-665188	DEMOLITION	PARTIAL	FINALED	Partial Demo	540 SAN FELICIA WY	17016005	9/8/2015	9/8/2015	10/7/2015
2015-665194	DEMOLITION	SWIMMING POOL	ISSUED	Pool Demo	663 JAY ST	17020080	9/9/2015	9/9/2015	NULL
2015-665197	SFD	NULL	FINALED	New SFD	663 JAY ST	17020080	9/9/2015	11/16/2015	10/4/2016
2015-665200	DEMOLITION	PARTIAL	FINALED	Partial Demo	1183 LISA LN	19338002	9/9/2015	9/9/2015	9/14/2015
2015-665201	SFD	NULL	CANCELED	New SFD-canceled	1378 CHELSEA CT	19719006	9/9/2015	NULL	NULL
2015-665212	PHOTOVOLTAIC	NULL	FINALED	PV	1473 MORTON AV	31810044	9/10/2015	9/10/2015	10/23/2015
2015-665215	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	1880 FARNDON AV	31818024	9/11/2015	9/11/2015	10/8/2015
2015-665218	DEMOLITION	PARTIAL	FINALED	Partial Demo	491 PATRICK WY	16727026	9/11/2015	9/11/2015	10/8/2015
2015-665220	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	521 SHELBY LN	18951011	9/11/2015	9/11/2015	10/2/2015
2015-665228	DEMOLITION	NULL	FINALED	Demolition	315 QUINNHILL AV	33644036	9/14/2015	9/14/2015	9/24/2015
2015-665230	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	811 LAVERNE WY	16719025	9/14/2015	9/14/2015	7/29/2016
2015-665232	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	43 DEL MONTE AV	16717022	9/14/2015	9/14/2015	11/12/2015
2015-665238	DEMOLITION	PARTIAL	FINALED	Partial Demo-SW	595 AVON WY	18941072	9/14/2015	9/14/2015	10/12/2015
2015-665244	DEMOLITION	PARTIAL	FINALED	Partial Demo	917 GOLDEN WY	18909037	9/15/2015	9/15/2015	9/29/2015
2015-665249	PHOTOVOLTAIC	NULL	FINALED	PV	1409 RANCHITA DR	19718008	9/16/2015	9/16/2015	10/30/2015
2015-665250	PHOTOVOLTAIC	NULL	FINALED	PV	1470 OAKLEY DR	31812004	9/16/2015	9/16/2015	9/14/2017
2015-665251	SFD	NULL	FINALED	SFD	876 S SPRINGER RD	18943033	9/16/2015	1/19/2016	4/19/2017
2015-665255	PHOTOVOLTAIC	NULL	FINALED	PV	1881 AUSTIN AV	31812045	9/17/2015	9/17/2015	10/28/2015
2015-665265	PHOTOVOLTAIC	NULL	FINALED	PV	493 SANTA BARBARA DR	17034003	9/18/2015	9/18/2015	10/29/2015
2015-665270	DEMOLITION	NULL	FINALED	Demo	480 ROSITA AV	18950043	9/21/2015	9/21/2015	10/8/2015
2015-665272	PHOTOVOLTAIC	NULL	FINALED	PV	2019 SCOTT LN	34211099	9/21/2015	9/21/2015	11/2/2015
2015-665273	PHOTOVOLTAIC	NULL	FINALED	Photovoltaic	244 LYELL ST	17037015	9/21/2015	9/21/2015	10/15/2015
2015-665289	PHOTOVOLTAIC	NULL	ISSUED	PV-Cancel	1275 ESTATE DR	19336021	9/23/2015	9/23/2015	NULL
2015-665294	SFD	NULL	FINALED	SFD	530 HAWTHORNE AV	18953080	9/23/2015	2/3/2016	4/11/2019
2015-665295	PHOTOVOLTAIC	NULL	FINALED	PV	327 FREMONT AV	18947032	9/23/2015	9/23/2015	2/10/2016
