Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Zip Codes,DELETE - Fire Prevention Districts,DELETE - Supervisor Districts,DELETE - Current Police Districts,DELETE - Supervisorial_Districts_Waterline_data_from_7pkg_wer3,apn,new_units
201812208889,1,new construction,2018-12-20,4052,001,8,,22nd,St,,,"mayor's ed 17-02 housing project priority processing. consists design & construction of 7-story,1 basement, type 1a, iiia, 275 dwelling units and commercial, mixed use housing building, in conformance to the pier 70 design for development.",filed,2018-12-20,2018-12-20,,,,,,7.0,,,,30000000.0,67837000.0,,,apartments,281.0,2.0,,,,1.0,constr type 1,Y,10.0,Potrero Hill,94107.0,"(37.75989580982459, -122.3835234338679)",1535896497191,56.0,2.0,9.0,26.0,310.0,10.0,8.0,3.0,6.0,4052/001,281.0
201802211851,1,new construction,2018-02-21,4022,021,681,,Florida,St,,,"priority plan review project. to erect a 9-story, 130 residential dwelling unit with 1 basement.",filed,2018-02-21,2018-02-21,,,,,,9.0,,,,38100000.0,40000000.0,,,apartments,130.0,2.0,,,,1.0,constr type 1,Y,9.0,Mission,94110.0,"(37.76104701285014, -122.41053835901573)",1497900503272,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,4022/021,130.0
201809200921,1,new construction,2018-09-20,3730,290,280,,07th,St,,,erect (n)(5) story residential,filed,2018-09-20,2018-09-20,,,,,,5.0,,,,1311000.0,2100000.0,,,apartments,3.0,2.0,,,,2.0,constr type 2,Y,6.0,South of Market,94103.0,"(37.77681733474296, -122.40849625269209)",1525563489453,32.0,1.0,10.0,34.0,28853.0,8.0,9.0,2.0,3.0,3730/290,3.0
201808137195,1,new construction,2018-08-13,1939,002,301,,Macalla,Ct,,,"mayor's executive directive 17-02 only. yerba buena project. to erect 6 stories, 1 basement, type iii-a over type i-a, 124 units residential & commercial with parking buildng. (r-2,a-3,s-2)** maher: n/a **",filed,2018-08-24,2018-08-24,,,,,,6.0,,,,68285000.0,,,,apartments,124.0,3.0,,,,1.0,constr type 1,Y,6.0,Treasure Island,94130.0,"(37.81101341055236, -122.36585271558224)",1519385494533,35.0,1.0,10.0,37.0,62.0,,9.0,2.0,3.0,1939/002,124.0
202010196871,1,new construction,2020-10-19,3783,010,600,,07th,St,,,"to erect a 8-story, type 3a over 1a, mixed use bldg with 208 residential unit, no basement. **comply to maher, route to dph**",filed,2020-10-19,2020-10-19,,,,,,8.0,,,,82127000.0,,,,apartments,208.0,2.0,,,,3.0,constr type 3,Y,6.0,South of Market,94103.0,"(37.77250788196421, -122.40314019020002)",1601768517501,33.0,1.0,10.0,34.0,28853.0,14.0,9.0,2.0,3.0,3783/010,208.0
201808207808,1,new construction,2018-08-20,4060,001,888,,Tennessee,St,,,"to erect a type v-a over 1-a, 4-story, mixed use; 109 unit apartments with retail and assembly and one basement.",filed,2018-08-20,2018-08-20,,,,,,4.0,,,,45000000.0,,,,apartments,109.0,4.0,,,,5.0,wood frame (5),Y,10.0,Potrero Hill,94107.0,"(37.76076832247691, -122.38998546149928)",1520265373234,55.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4060/001,109.0
201405054911,1,new construction,2014-05-05,4059,001A,825,,Tennessee,St,,,"to erect 5 stories, 1 basement, 69 units residential with parking building.** maher: compliance with ordinance no# 155-13 not required **",complete,2019-11-05,2014-05-05,2016-06-15,2019-11-05,2016-08-31,,,5.0,,,2022-05-15,21000000.0,21000000.0,,,apartments,69.0,2.0,,,,1.0,constr type 1,Y,10.0,Potrero Hill,94107.0,"(37.7612283384814, -122.38925089930297)",1340780169246,55.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4059/001A,69.0
201405054911,1,new construction,2014-05-05,4059,001B,815,,Tennessee,St,,,"to erect 5 stories, 1 basement, 69 units residential with parking building.** maher: compliance with ordinance no# 155-13 not required **",complete,2019-11-05,2014-05-05,2016-06-15,2019-11-05,2016-08-31,,,5.0,,,2022-05-15,21000000.0,21000000.0,,,apartments,69.0,2.0,,,,1.0,constr type 1,Y,10.0,Potrero Hill,94107.0,"(37.76150218137921, -122.38927714632733)",1340779169247,55.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4059/001B,69.0
202010217003,1,new construction,2020-10-21,0186,049,1728,,Larkin,St,,,"construction of a new type-3b over type-1a, 6-unit, 6-story over basement residential structure on a lot currently containing a 1-story garage structure that is to be demolished. demo under pa# 202010307805.",filed,2020-10-21,2020-10-21,,,,,,6.0,,,,2000000.0,,,,apartments,6.0,2.0,,,,3.0,constr type 3,Y,3.0,Russian Hill,94109.0,"(37.793927638739476, -122.41930730733792)",1601945517755,16.0,6.0,3.0,32.0,28858.0,5.0,10.0,1.0,2.0,0186/049,6.0
201905170928,1,new construction,2019-05-17,8954,001,209,,Forest,Rd,,,"yerba buena island project. bldg# 20 (4y). to erect 4 stories, no basement, type iii-a, 4 units residential townhouse.",filed,2019-05-17,2019-05-17,,,,,,4.0,,,,3000000.0,,,,apartments,4.0,2.0,,,,3.0,constr type 3,,6.0,Treasure Island,94130.0,"(37.81107198559766, -122.3659671988748)",1552749514794,35.0,1.0,10.0,37.0,62.0,,9.0,2.0,3.0,8954/001,4.0
201905170923,1,new construction,2019-05-17,8952,001,3,,Signal,Rd,,,"yerba buena island project. bldg# 17 (3y). to erect 4 stories, no basement, type iii-a, 5 units residential townhouse.",filed,2019-05-17,2019-05-17,,,,,,4.0,,,,4940000.0,,,,apartments,5.0,2.0,,,,3.0,constr type 3,,6.0,Treasure Island,94130.0,"(37.80978158270176, -122.36682540673715)",1552746514785,35.0,1.0,10.0,37.0,62.0,,9.0,2.0,3.0,8952/001,5.0
201912099009,1,new construction,2019-12-09,1797,007,1351,,42nd,Av,,,"priority project, mayor ed 13-01. to erect a type 3a over type 1a, 5-story, 100% afforable educator building w/ 135 residential units.",filed,2019-12-09,2019-12-09,,,,,,5.0,,,,40000000.0,40000000.0,,,apartments,135.0,3.0,,,,3.0,constr type 3,Y,4.0,Sunset/Parkside,94122.0,"(37.76138550560502, -122.50223225448805)",1578481291147,39.0,10.0,7.0,35.0,56.0,1.0,3.0,5.0,4.0,1797/007,135.0
201706219947,1,new construction,2017-06-21,0318,020,653,,Geary,St,,,"erect 13 stories, 3 basement, type 1a residential with non stacker parking and ground floor commercial/retail, building.",filed,2017-06-21,2017-06-21,,,,,,13.0,,,,20000000.0,20000000.0,,,apartments,52.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94102.0,"(37.78634406995665, -122.41395547248227)",1467785363060,20.0,5.0,10.0,36.0,28852.0,5.0,9.0,10.0,3.0,0318/020,52.0
201406097901,1,new construction,2014-06-09,3521,053A,33,,Norfolk,St,,,"to erect 5 stories, no basement, type v-a/i-a, 19 residential units and parking building. (r-2,s-2)** maher: disturbance of at least 50 cu.yd. of soild, route to dph **",issued,2019-06-26,2014-06-09,2019-06-26,,,,,5.0,,,2023-12-26,4887516.0,5300000.0,,,apartments,19.0,2.0,,,,1.0,constr type 1,Y,6.0,Mission,94103.0,"(37.77115790905996, -122.41385766559708)",1344647156746,32.0,1.0,10.0,20.0,28853.0,8.0,9.0,2.0,3.0,3521/053A,19.0
201905170931,1,new construction,2019-05-17,8954,001,233,,Forest,Rd,,,"yerba buena island project. bldg# 23 (4y). to erect 3 stories, no basement, type iii-a, 4 units residential townhouse.",filed,2019-05-17,2019-05-17,,,,,,3.0,,,,2100000.0,,,,apartments,4.0,2.0,,,,3.0,constr type 3,,6.0,Treasure Island,94130.0,"(37.81107198559766, -122.3659671988748)",1552756514791,35.0,1.0,10.0,37.0,62.0,,9.0,2.0,3.0,8954/001,4.0
201905170930,1,new construction,2019-05-17,8954,001,225,,Forest,Rd,,,"yerba buena island project. bldg# 22 (4y). to erect 4 stories, no basement, type iii-a, 4 units residential townhouse.",filed,2019-05-17,2019-05-17,,,,,,4.0,,,,3100000.0,,,,apartments,4.0,2.0,,,,3.0,constr type 3,,6.0,Treasure Island,94130.0,"(37.81107198559766, -122.3659671988748)",1552755514792,35.0,1.0,10.0,37.0,62.0,,9.0,2.0,3.0,8954/001,4.0
201905170929,1,new construction,2019-05-17,8954,001,217,,Forest,Rd,,,"yerba buena island project. bldg# 21 (4y). to erect 4 stories, no basement, type iii-a, 4 units residential townhouse.",filed,2019-05-17,2019-05-17,,,,,,4.0,,,,3000000.0,,,,apartments,4.0,2.0,,,,3.0,constr type 3,,6.0,Treasure Island,94130.0,"(37.81107198559766, -122.3659671988748)",1552750514793,35.0,1.0,10.0,37.0,62.0,,9.0,2.0,3.0,8954/001,4.0
201905170927,1,new construction,2019-05-17,8954,001,201,,Forest,Rd,,,"yerba buena island project. bldg# 19 (4y). to erect 4 stories, no basement, type iii-a, 4 units residential townhouse.",filed,2019-05-17,2019-05-17,,,,,,4.0,,,,3100000.0,,,,apartments,4.0,2.0,,,,3.0,constr type 3,,6.0,Treasure Island,94130.0,"(37.81107198559766, -122.3659671988748)",1552748514795,35.0,1.0,10.0,37.0,62.0,,9.0,2.0,3.0,8954/001,4.0
201905170926,1,new construction,2019-05-17,8952,001,15,,Signal,Rd,,,"yerba buena island project. bldg# 18 (3y). to erect 4 stories, no basement, type iii-a, 6 units residential townhouse.",filed,2019-05-17,2019-05-17,,,,,,4.0,,,,6400000.0,,,,apartments,6.0,2.0,,,,3.0,constr type 3,,6.0,Treasure Island,94130.0,"(37.80978158270176, -122.36682540673715)",1552747514784,35.0,1.0,10.0,37.0,62.0,,9.0,2.0,3.0,8952/001,6.0
201406138394,1,new construction,2014-06-13,0814,021,125,,Hayes,St,,,"erect 13 stories ,431 dwelling units.",complete,2018-09-27,2014-06-13,2016-05-23,2018-09-27,2016-11-15,,,14.0,,,2022-04-22,108000000.0,108000000.0,,,apartments,431.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94102.0,"(37.777168232394864, -122.41847184384113)",1346088452574,21.0,4.0,10.0,36.0,28852.0,7.0,9.0,6.0,3.0,0814/021,431.0
201406138394,1,new construction,2014-06-13,0814,016,131,,Hayes,St,,,"erect 13 stories ,431 dwelling units.",complete,2018-09-27,2014-06-13,2016-05-23,2018-09-27,2016-11-15,,,14.0,,,2022-04-22,108000000.0,108000000.0,,,apartments,431.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94102.0,"(37.77715747106272, -122.4185728195608)",1346087452572,21.0,4.0,10.0,36.0,28852.0,7.0,9.0,6.0,3.0,0814/016,431.0
201406138394,1,new construction,2014-06-13,0814,015,155,,Hayes,St,,,"erect 13 stories ,431 dwelling units.",complete,2018-09-27,2014-06-13,2016-05-23,2018-09-27,2016-11-15,,,14.0,,,2022-04-22,108000000.0,108000000.0,,,apartments,431.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94102.0,"(37.77709912861615, -122.41883965548587)",134608682086,21.0,4.0,10.0,36.0,28852.0,7.0,9.0,6.0,3.0,0814/015,431.0
201406097901,1,new construction,2014-06-09,3521,093,33,,Norfolk,St,,,"to erect 5 stories, no basement, type v-a/i-a, 19 residential units and parking building. (r-2,s-2)** maher: disturbance of at least 50 cu.yd. of soild, route to dph **",issued,2019-06-26,2014-06-09,2019-06-26,,,,,5.0,,,2023-12-26,4887516.0,5300000.0,,,apartments,19.0,2.0,,,,1.0,constr type 1,Y,6.0,Mission,94103.0,"(37.77124228269926, -122.41399205190592)",1345886499163,32.0,1.0,10.0,20.0,28853.0,8.0,9.0,2.0,3.0,3521/093,19.0
201507272485,1,new construction,2015-07-27,8711,021,626,,Mission Bay Blvd North,Bl,,,"construct (n) residential apartments, residential support spaces, retail & restaurant shell space",complete,2018-10-15,2015-07-27,2016-01-22,2018-10-15,2016-09-21,,,6.0,,,2021-12-21,48657306.0,48657306.0,,,apartments,143.0,2.0,,,,1.0,constr type 1,Y,6.0,Mission Bay,94158.0,"(37.77140196046573, -122.39177164654781)",1410100505696,34.0,1.0,10.0,4.0,310.0,14.0,9.0,3.0,3.0,8711/021,143.0
201406188773,1,new construction,2014-06-18,3764,063,525,,Harrison,St,,,"to erect 23 stories, 4 basement, 200 dwelling units & retail building. ** maher: compliance with ordinance no. 155-13 required; route to dph **",filed,2014-06-18,2014-06-18,,,,,,23.0,,,,71000000.0,87000.0,,,apartments,200.0,2.0,,,,1.0,constr type 1,Y,6.0,Financial District/South Beach,94105.0,"(37.785409492086494, -122.39334183107817)",1345765166663,30.0,1.0,10.0,8.0,28855.0,6.0,9.0,2.0,3.0,3764/063,200.0
201512145054,1,new construction,2015-12-14,4167,011,800,,Pennsylvania,Av,,,"to erect 8 stories, 1 basement, 256 residnetial, industrial building. (r-2,a-3,f-1,s-2)** maher: n/a **",issued,2017-05-18,2015-12-14,2017-05-18,,2017-11-15,,,8.0,,,2023-04-17,80000000.0,110000000.0,,,apartments,256.0,2.0,,,,1.0,constr type 1,Y,10.0,Potrero Hill,94107.0,"(37.75619678201157, -122.39362994919676)",1474153369748,54.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4167/011,256.0
201811276775,1,new construction,2018-11-27,3725,068,475,V,Minna,St,,,"to erect a type 1-a, 16-story, 270 dwelling unit building with one basement. lots 068, 069, 070 & 071 to merge.",filed,2018-11-27,2018-11-27,,,,,,16.0,,,,45000000.0,,,,apartments,270.0,2.0,,,,1.0,constr type 1,Y,6.0,South of Market,94103.0,"(37.78092245229529, -122.40739207424335)",1532997164819,32.0,1.0,10.0,34.0,28853.0,14.0,9.0,2.0,3.0,3725/068,270.0
201406138394,1,new construction,2014-06-13,0814,014,150,,Van Ness,Av,,,"erect 13 stories ,431 dwelling units.",complete,2018-09-27,2014-06-13,2016-05-23,2018-09-27,2016-11-15,,,14.0,,,2022-04-22,108000000.0,108000000.0,,,apartments,431.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94102.0,"(37.77709519639324, -122.41925228754974)",134527182085,21.0,4.0,10.0,36.0,28852.0,7.0,9.0,6.0,3.0,0814/014,431.0
201406138386,1,new construction,2014-06-13,0281,003,832,,Sutter,St,,,"to erect 5 stories, no basement, 20 units residential & retail building.",complete,2016-09-16,2014-06-13,2014-11-26,2016-09-16,2015-01-28,,,6.0,,,2020-10-25,3600000.0,7500000.0,,,apartments,20.0,2.0,,,,3.0,constr type 3,Y,3.0,Nob Hill,94109.0,"(37.78880085494231, -122.41420385302604)",1345266499106,50.0,6.0,3.0,21.0,28858.0,5.0,10.0,1.0,2.0,0281/003,20.0
201406128212,1,new construction,2014-06-12,0350,003,1066,,Market,St,,,"to erect 14 stories, 2 basement, 303 residential & retail building.(r-2,a-2,b,s-2)",complete,2020-11-19,2014-06-12,2017-11-29,2020-11-19,2018-04-24,,,14.0,,,2023-10-29,86400000.0,86400000.0,,,apartments,303.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94102.0,"(37.781760353688966, -122.41175412486129)",134504170096,20.0,5.0,10.0,36.0,28852.0,14.0,9.0,10.0,3.0,0350/003,303.0
201308204717,1,new construction,2013-08-20,4624,031,142,,West Point,Rd,,,"erect 5-story, type 3, no basement, 50 dwelling units building.",complete,2017-05-10,2013-08-20,2014-11-03,2017-05-10,2015-03-12,,,5.0,,,2020-10-02,17600000.0,17600000.0,,,apartments,50.0,2.0,,,,3.0,constr type 3,Y,10.0,Bayview Hunters Point,94124.0,"(37.735239308718086, -122.3806312643806)",1314804491737,86.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4624/031,50.0
201406108024,1,new construction,2014-06-10,3504,030,1699,,Market,St,,,"to erect 9 stories, 1 basement, type ib, 160 residential, commercial & below grade parking building.",complete,2019-10-18,2014-06-10,2016-12-16,2019-10-18,2017-10-11,,,9.0,,,2022-11-15,38000000.0,52500000.0,,,apartments,160.0,2.0,,,,1.0,constr type 1,Y,6.0,Mission,94103.0,"(37.77217133890038, -122.421939261542)",1344801156230,32.0,1.0,10.0,20.0,28853.0,8.0,9.0,2.0,3.0,3504/030,160.0
201612225735,1,new construction,2016-12-22,0717,003,719,,Larkin,St,,,"to erect 8 stories, no basement, type ib, 42 residential units with mixed used building.** maher: n/a **",complete,2019-07-15,2016-12-22,2017-12-20,2019-07-15,2018-03-05,,,8.0,,,2023-11-19,6000000.0,12000000.0,,,apartments,42.0,2.0,,,,1.0,constr type 1,Y,6.0,Tenderloin,94109.0,"(37.78454649507132, -122.41807225437344)",144841480432,20.0,5.0,10.0,36.0,28858.0,7.0,9.0,6.0,3.0,0717/003,42.0
201711214504,1,new construction,2017-11-21,2749,045A,4545,,20th,St,,,"erect a 5-story, type 5a, 2 family dwelling units, residential bldg.",issued,2019-08-12,2017-11-21,2019-08-12,,,,,5.0,,,2022-02-12,1050000.0,1500000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,8.0,Castro/Upper Market,94114.0,"(37.75722246760108, -122.43870451841694)",1563507515772,115.0,3.0,5.0,5.0,28862.0,2.0,5.0,7.0,1.0,2749/045A,2.0
201802161503,1,new construction,2018-02-16,3808,004,188,,Hooper,St,0.0,,"to erect 5 stories, no basement, type iii-b over i-a, 280 dwelling unit building for  residential student housing. (r-2,a-2,s-2) maher ordinance comply.",issued,2018-08-27,2018-02-16,2018-08-27,,2018-12-17,,,5.0,,,2025-12-19,28600000.0,32400000.0,,,apartments,280.0,3.0,,,,1.0,constr type 1,Y,10.0,Mission Bay,94107.0,"(37.76788970292302, -122.40030930828503)",1497450482245,33.0,1.0,9.0,4.0,28856.0,14.0,8.0,3.0,6.0,3808/004,280.0
201912099009,1,new construction,2019-12-09,1797,007,1350,,43rd,Av,,,"priority project, mayor ed 13-01. to erect a type 3a over type 1a, 5-story, 100% afforable educator building w/ 135 residential units.",filed,2019-12-09,2019-12-09,,,,,,5.0,,,,40000000.0,40000000.0,,,apartments,135.0,3.0,,,,3.0,constr type 3,Y,4.0,Sunset/Parkside,94122.0,"(37.76138550560502, -122.50223225448805)",1578482291148,39.0,10.0,7.0,35.0,56.0,1.0,3.0,5.0,4.0,1797/007,135.0
201404304554,1,new construction,2014-04-30,3736,190,41,,Tehama,St,,,"to erect 35 stories, 3 basement, 403 residential units with mix used & parking building. (r-2,b,a-3,m,h-3,s-2)",complete,2018-05-22,2014-04-30,2015-07-02,2018-05-22,2015-11-13,,,35.0,,,2021-05-31,60000000.0,106869000.0,,,apartments,403.0,2.0,,,,1.0,constr type 1,Y,6.0,Financial District/South Beach,94105.0,"(37.78726010664772, -122.3962642716701)",1340311497257,32.0,1.0,10.0,8.0,28855.0,6.0,9.0,2.0,3.0,3736/190,403.0
201302119939,1,new construction,2013-02-11,4071,014,1914,,20th,St,,,"erect new 6 stories, 2 dwelling units building.",issued,2015-08-18,2013-02-11,2015-08-18,,,,,6.0,,,2018-08-02,1570000.0,1570000.0,,,2 family dwelling,2.0,2.0,,,,3.0,constr type 3,Y,10.0,Potrero Hill,94107.0,"(37.75999809970346, -122.40051374757476)",1295800453831,54.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4071/014,2.0
201511041768,1,new construction,2015-11-04,3639,028,953,,Treat,Av,,,"building# 2. to erect 4 stories, no basement, 3 units residential building. lot 027 & lot 028 going to merge.** maher: compliance with ordinance no# 155-13 required; route to dph **",issued,2019-06-25,2015-11-04,2019-06-25,,2019-08-02,,,4.0,,,2022-06-09,686000.0,876000.0,,,apartments,3.0,2.0,,,,3.0,constr type 3,Y,9.0,Mission,94110.0,"(37.755080609120384, -122.41299612138998)",1557613502575,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,3639/028,3.0
201611223357,1,new construction,2016-11-22,3999,015,249,,Pennsylvania,Av,,,"to erect 4 stories, one basement, 59 dwelling apartment & retail, standard car parking, no stackers** maher: exempted - approval from dph attached with plan. see a-07 **",issued,2018-10-10,2016-11-22,2018-10-10,,,,,4.0,,,2024-09-08,9000000.0,17000000.0,,,apartments,59.0,2.0,,,,1.0,constr type 1,Y,10.0,Potrero Hill,94107.0,"(37.76360831003604, -122.39338775355681)",1527404512146,54.0,2.0,9.0,26.0,28856.0,14.0,8.0,3.0,6.0,3999/015,59.0
201812188616,1,new construction,2018-12-18,3542,008,2140,,Market,St,,,"to erect a type 1-b, 8-story multi-family residential with (33) units and retail. no basements.",filed,2018-12-18,2018-12-18,,,,,,8.0,,,,8950000.0,,,,apartments,33.0,2.0,,,,1.0,constr type 1,Y,8.0,Castro/Upper Market,94114.0,"(37.76714474381881, -122.42993940236897)",1535489157552,28.0,7.0,5.0,5.0,28862.0,7.0,5.0,6.0,1.0,3542/008,33.0
201507171867,1,new construction,2015-07-17,3995,007,2092,,03rd,St,,,"construct (n) 6-story, 19 dwelling unts residential above retail with 1 basement building.",withdrawn,2020-01-24,2015-07-17,,,,,,6.0,,,,5500000.0,,,,apartments,19.0,2.0,,,,3.0,constr type 3,Y,10.0,Potrero Hill,94107.0,"(37.76318811141849, -122.38908909724063)",1388929168423,55.0,2.0,9.0,26.0,28856.0,14.0,8.0,3.0,6.0,3995/007,19.0
