id,type,subtype,status,description,address,apn,applied,issued,final,demolished,new,totalunit,permyear
2016-666683,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 207,16764016.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666684,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 208,16764017.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666685,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 301,16764018.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666686,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 302,16764019.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666687,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 303,16764020.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666688,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 304,16764021.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666689,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 305,16764022.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666690,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 306,16764023.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666691,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 307,16764024.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666692,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 308,16764025.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666694,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 101,16764001.0,2016-06-09,2016-06-09,2016-06-09,0,3.0,3.0,2016.0
2016-666695,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 102,16764002.0,2016-06-09,2016-06-09,2016-06-09,0,21.0,21.0,2016.0
2016-666696,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 103,16764003.0,2016-06-09,2016-06-09,2016-06-09,0,3.0,3.0,2016.0
2016-666697,MULTI FAMILY,,FINALED,Condominium,86 THIRD ST 104,16764004.0,2016-06-09,2016-06-09,2016-06-09,0,1.0,1.0,2016.0
2016-666815,SFD,,FINALED,New SFD,675 JAY ST,17020082.0,2016-06-30,2016-09-27,2019-04-23,0,1.0,1.0,2016.0
2016-666886,SFD,,FINALED,New SFD,553 PALM AV,17516074.0,2016-07-12,2017-01-10,2020-10-06,0,1.0,1.0,2017.0
2016-666888,SFD,,FINALED,New SFD,552 LINCOLN AV,17516074.0,2016-07-12,2017-01-10,2020-10-06,0,1.0,1.0,2017.0
2016-666890,MIXED USE,,ISSUED,New Mixed Use,1540 MIRAMONTE AV,18915085.0,2016-07-13,2017-10-11,,1,1.0,0.0,2017.0
2016-667545,SFD,ONE-STORY,FINALED,SFD 2016,300 CUESTA DR,18951060.0,2016-11-03,2017-02-14,2019-04-09,0,1.0,1.0,2017.0
2016-667706,ADU,,FINALED,Detached Liv Unit,600 SPARGUR DR,17020039.0,2016-12-07,2017-04-05,2018-05-02,0,1.0,1.0,2017.0
2016-667756,MULTI FAMILY,,FINALED,New five-story multi- family,4880 EL CAMINO REAL,17002022.0,2016-12-21,2018-01-09,2020-07-27,1,2.0,1.0,2018.0
2017-668535,SFD,,FINALED,New SFD,462 SAN LUIS AV,18952014.0,2017-06-01,2017-08-10,2018-08-10,0,1.0,1.0,2017.0
2017-669052,ADU,ATTACHED,FINALED,A.D.U.,706 VISTA GRANDE AV,18929063.0,2017-09-07,2018-05-30,2019-02-27,0,1.0,1.0,2018.0
2017-669263,SFD,ONE-STORY,FINALED,New 2-story SFD,680 UNIVERSITY AV,17514025.0,2017-10-10,2017-12-27,2019-03-07,0,1.0,1.0,2017.0
2017-669336,SFD,,FINALED,New SFD,203 PORTOLA CT,17003013.0,2017-10-24,2018-01-08,2019-06-03,0,1.0,1.0,2018.0
2017-669477,MULTI FAMILY,,FINALED,3 Condo Unit,517 TYNDALL ST,17038047.0,2017-11-21,2018-06-06,2019-09-16,1,1.0,0.0,2018.0
2018-669645,ADU,DETACHED,FINALED,A.D.U,309 COVINGTON RD A,18949038.0,2018-01-02,2018-05-03,2019-09-19,0,1.0,1.0,2018.0
2018-669648,SFD,,FINALED,2-story SFD-SW,1289 EUREKA AV,19334030.0,2018-01-03,2018-05-16,2019-06-12,0,1.0,1.0,2018.0
2018-669798,ADU,DETACHED,FINALED,A.D.U.,686 SPARGUR DR,17020073.0,2018-02-05,2018-02-05,2019-03-25,0,1.0,1.0,2018.0
2018-670157,ADU,DETACHED,FINALED,A.D.U.,981 MANOR WY,18913060.0,2018-04-16,2018-10-08,2019-11-13,0,1.0,1.0,2018.0
2018-670604,ADU,DETACHED,FINALED,A.D.U.,885 SANTA RITA AV,16718072.0,2018-07-06,2018-07-26,2018-08-24,0,1.0,1.0,2018.0
2018-670630,ADU,DETACHED,FINALED,A.D.U.,789 VISTA GRANDE AV,18930015.0,2018-07-11,2018-12-11,2019-10-10,0,1.0,1.0,2018.0
2018-670831,ADU,,FINALED,A.D.U. & Garage,659 TOMI LEA ST,16723019.0,2018-08-20,2018-10-31,2019-08-05,0,1.0,1.0,2018.0
2018-671079,ADU,,PERMIT EXPIRED,ADU,116 DEL MONTE AV,16717041.0,2018-10-10,2018-12-13,,0,1.0,1.0,2018.0
2018-671192,ADU,DETACHED,FINALED,ADU & Garage Addition(To Main HS),656 GIRALDA DR,18937026.0,2018-10-31,2019-04-01,2020-08-06,0,1.0,1.0,2019.0
2018-671250,ADU,,ISSUED,ADU,345A ALICIA WY,17022054.0,2018-11-13,2019-01-23,,0,1.0,1.0,2019.0
2018-671264,ADU,DETACHED,FINALED,ADU,683 SHADY CREEK LN,18940100.0,2018-11-14,2019-03-25,2019-10-11,0,1.0,1.0,2019.0
2018-671308,ADU,DETACHED,FINALED,ADU,1564 HONEYSUCKLE PL,34202053.0,2018-11-28,2019-03-01,2019-10-24,0,1.0,1.0,2019.0
2018-671312,ADU,DETACHED,ISSUED,ADU,960 BERRY AV,18912065.0,2018-11-29,2019-05-14,,0,1.0,1.0,2019.0
2018-671314,ADU,DETACHED,ISSUED,ADU,730 ARROYO RD,18929004.0,2018-11-29,2019-03-27,,0,1.0,1.0,2019.0
2018-671317,ADU,ATTACHED,FINALED,ADU and Rmd,682 CORAL CT,18935008.0,2018-12-03,2019-03-05,2020-01-23,0,1.0,1.0,2019.0
2019-671488,SFD,ONE-STORY,ISSUED,SFD/Parcel B,559 S EL MONTE AV,18951057.0,2019-01-15,2019-04-09,,0,1.0,1.0,2019.0
2019-671523,ADU,DETACHED,CANCELLED,ADU,667 ROSITA AV,18940098.0,2019-01-23,2020-01-07,,0,1.0,1.0,2020.0
2019-671575,ADU,ATTACHED,ISSUED,ADU,321 Edna Court,17036029.0,2019-02-04,2019-11-22,,0,1.0,1.0,2019.0
BLD19-00054,ADU,DETACHED,FINALED,ADU,175 PEPPER DR,17041002.0,2019-02-13,2019-05-06,2020-10-07,0,1.0,1.0,2019.0
BLD19-00089,ADU,DETACHED,ISSUED,ADU/Detached Garage,200 COVINGTON RD,18948014.0,2019-02-20,2019-07-09,,0,1.0,1.0,2019.0
BLD19-00144,SFD,TWO-STORY,ISSUED,New 2 Story SFD,1515 OAKHURST AVE,19337026.0,2019-03-05,2019-12-19,,0,1.0,1.0,2019.0
BLD19-00161,ADU,DETACHED,ISSUED,ADU-SW,150 CATALINA CT,17012017.0,2019-03-07,2019-07-08,,0,1.0,1.0,2019.0
BLD19-00257,ADU,DETACHED,ISSUED,ADU,462 DEODARA DR,34203010.0,2019-03-28,2019-04-02,,0,1.0,1.0,2019.0
BLD19-00264,ADU,DETACHED,FINALED,ADU,581 UNIVERSITY AVE,17515014.0,2019-03-28,2019-07-10,2019-08-06,0,1.0,1.0,2019.0
BLD19-00298,ADU,DETACHED,ISSUED,Convert (e) Accessory Structure to ADU,200 LYELL ST,17037010.0,2019-04-09,2020-09-29,,0,1.0,1.0,2020.0
BLD19-00310,ADU,ATTACHED,ISSUED,ADU,13 CYPRESS CT,17511047.0,2019-04-10,2019-12-20,,0,1.0,1.0,2019.0
BLD19-00364,ADU,DETACHED,FINALED,ADU,1251 PETERSEN CT,19335030.0,2019-04-18,2019-06-18,2019-10-07,0,1.0,1.0,2019.0
BLD19-00381,ADU,DETACHED,FINALED,ADU /Addition,491 PATRICK WAY,16727026.0,2019-04-22,2019-09-23,2020-06-30,0,1.0,1.0,2019.0
BLD19-00416,ADU,DETACHED,ISSUED,Detached ADU,132 LOUCKS AVE,16716010.0,2019-04-26,2019-07-24,,0,1.0,1.0,2019.0
BLD19-00452,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #501,4880 EL CAMINO REAL #54,,2019-05-02,2019-05-02,2020-06-25,0,1.0,1.0,2019.0
BLD19-00453,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #502,4880 EL CAMINO REAL #53,,2019-05-02,2019-05-02,2020-06-25,0,1.0,1.0,2019.0
BLD19-00454,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #503,4880 EL CAMINO REAL #52,,2019-05-02,2019-05-02,2020-06-25,0,1.0,1.0,2019.0
BLD19-00455,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #504,4880 EL CAMINO REAL #51,,2019-05-02,2019-05-02,2020-06-25,0,1.0,1.0,2019.0
BLD19-00457,ADU,DETACHED,ISSUED,ADU,20 LOS ALTOS AVE,16735072.0,2019-05-02,2019-11-06,,0,1.0,1.0,2019.0
BLD19-00536,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #101,4880 EL CAMINO REAL #14,,2019-05-22,2019-05-22,2020-06-25,0,1.0,1.0,2019.0
BLD19-00537,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #102,4880 EL CAMINO REAL #105,,2019-05-22,2019-05-22,2020-06-25,0,1.0,1.0,2019.0
BLD19-00538,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #103,4880 EL CAMINO REAL #12,,2019-05-22,2019-05-22,2020-06-25,0,1.0,1.0,2019.0
BLD19-00539,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #104,4880 EL CAMINO REAL #11,,2019-05-22,2019-05-22,2020-06-25,0,1.0,1.0,2019.0
BLD19-00652,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #201,4880 EL CAMINO REAL #24,,2019-06-13,2019-06-13,2020-06-25,0,1.0,1.0,2019.0
BLD19-00653,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit#202,4880 EL CAMINO REAL #25,,2019-06-13,2019-06-13,2020-06-25,0,1.0,1.0,2019.0
BLD19-00654,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit#203,4880 EL CAMINO REAL #22,,2019-06-13,2019-06-13,2020-06-25,0,1.0,1.0,2019.0
BLD19-00655,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit#204,4880 EL CAMINO REAL #23,,2019-06-13,2019-06-13,2020-06-25,0,1.0,1.0,2019.0
BLD19-00656,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit#205,4880 EL CAMINO REAL #21,,2019-06-13,2019-06-13,2020-06-25,0,1.0,1.0,2019.0
BLD19-00711,ADU,DETACHED,ISSUED,ADU,538 SEQUOIA DR,34203047.0,2019-06-25,2019-10-15,,0,1.0,1.0,2019.0
BLD19-00723,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit#301,4880 EL CAMINO REAL #34,,2019-06-26,2019-07-05,2020-06-25,0,1.0,1.0,2019.0
BLD19-00823,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #302,4880 EL CAMINO REAL #33,,2019-07-15,2019-07-15,2020-06-25,0,1.0,1.0,2019.0
BLD19-00824,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #303,4880 EL CAMINO REAL #32,,2019-07-15,2019-07-15,2020-06-25,0,1.0,1.0,2019.0
BLD19-00825,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #304,4880 EL CAMINO REAL #31,,2019-07-15,2019-07-15,2020-06-25,0,1.0,1.0,2019.0
BLD19-00826,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #401,4880 EL CAMINO REAL #44,,2019-07-15,2019-07-15,2020-06-25,0,1.0,1.0,2019.0
BLD19-00827,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #402,4880 EL CAMINO REAL #43,,2019-07-15,2019-07-15,2020-06-25,0,1.0,1.0,2019.0
BLD19-00834,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #403,4880 EL CAMINO REAL #42,,2019-07-16,2019-07-16,2020-06-25,0,1.0,1.0,2019.0
BLD19-00835,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #404,4880 EL CAMINO REAL #41,,2019-07-16,2019-07-16,2020-06-25,0,1.0,1.0,2019.0
BLD19-00843,ADU,DETACHED,ISSUED,ADU,672 PALM AVE,17517058.0,2019-07-16,2019-10-31,,0,1.0,1.0,2019.0
BLD19-00919,ADU,DETACHED,FINALED,Detached ADU,821 ARROYO RD,18929094.0,2019-07-31,2019-11-07,2020-07-30,0,1.0,1.0,2019.0
BLD19-00958,ADU,DETACHED,FINALED,ADU,356 BLUE OAK LN,16734008.0,2019-08-06,2019-10-28,2020-05-18,0,1.0,1.0,2019.0
BLD19-01024,ADU,DETACHED,FINALED,ADU,1456 FALLEN LEAF LN,19703052.0,2019-08-16,2019-10-16,2020-03-19,0,1.0,1.0,2019.0
BLD19-01029,ADU,DETACHED,ISSUED,ADU,49 LYELL ST,17040016.0,2019-08-16,2019-10-25,,0,1.0,1.0,2019.0
BLD19-01058,ADU,DETACHED,ISSUED,ADU,162 ALTA VISTA AVE,16735007.0,2019-08-21,2020-03-05,,0,1.0,1.0,2020.0
BLD19-01262,ADU,ATTACHED,FINALED,ADU in Basement,656 BENVENUE AVE,18938043.0,2019-09-23,2020-01-23,2020-02-12,0,1.0,1.0,2020.0
BLD19-01285,SFD,ONE-STORY,FINALED,SFD,1565 TRUMAN AVENUE,,2019-09-24,2020-01-30,2020-09-03,0,1.0,1.0,2020.0
BLD19-01294,ADU,ATTACHED,ISSUED,ADU/RMD,934 O'DELL WAY,19327014.0,2019-09-25,2020-03-12,,0,1.0,1.0,2020.0
BLD19-01454,ADU,DETACHED,FINALED,ADU,565 HARRINGTON AVE,18941029.0,2019-10-22,2020-03-30,2020-10-06,0,1.0,1.0,2020.0
BLD19-01670,ADU,DETACHED,ISSUED,ADU,24841 SUMMERHILL AVE,33614004.0,2019-11-26,2020-06-05,2020-10-12,0,1.0,1.0,2020.0
BLD20-00798,ADU,DETACHED,ISSUED,ADU,42 SAN JUAN CT,17013061.0,2019-12-10,2020-07-20,,0,1.0,1.0,2020.0
BLD19-01777,ADU,DETACHED,ISSUED,ADU,1544A MARLBAROUGH AVE,19716056.0,2019-12-17,2020-06-02,,0,1.0,1.0,2020.0
BLD19-01795,ADU,DETACHED,ISSUED,ADU,659 SPARGUR DR,17020005.0,2019-12-18,2019-12-18,,0,1.0,1.0,2019.0
BLD19-01824,ADU,ATTACHED,ISSUED,ADU,1622 GRANT RD,31802050.0,2019-12-20,2020-05-11,,0,1.0,1.0,2020.0
BLD19-01829,SFD,TWO-STORY,ISSUED,SFD with Basement Lot 1,67 LYELL ST,,2019-12-23,2020-06-25,,0,1.0,1.0,2020.0
BLD19-01831,SFD,TWO-STORY,ISSUED,New 2 Story SFD LOT2,77 LYELL ST,,2019-12-23,2020-06-29,,0,1.0,1.0,2020.0
BLD19-01847,SFD,ONE-STORY,ISSUED,New SFD with basement & ADU,437 MUNDELL WAY,,2019-12-24,2020-05-18,,0,1.0,1.0,2020.0
BLD20-00028,ADU,DETACHED,ISSUED,Addition/ADU,22826 SEQUOIA DR,34203074.0,2020-01-09,2020-01-09,,0,1.0,1.0,2020.0
BLD20-00120,ADU,DETACHED,ISSUED,Detached ADU,668 A SPRINGER TER,18936036.0,2020-02-05,2020-09-17,,0,1.0,1.0,2020.0
BLD20-00222,ADU,DETACHED,ISSUED,Detached ADU,584 JAY ST,17032005.0,2020-02-26,2020-05-05,,0,1.0,1.0,2020.0
BLD20-00310,ADU,ATTACHED,ISSUED,Attached ADU,1194 PAYNE DR,19338036.0,2020-03-16,2020-07-02,,0,1.0,1.0,2020.0
BLD20-00387,ADU,DETACHED,ISSUED,DETACHED ADU,437 MUNDELL WAY,,2020-05-18,2020-05-18,,0,1.0,1.0,2020.0
BLD20-00552,ADU,ATTACHED,ISSUED,New ADU,335 ALICIA WAY,17022053.0,2020-06-17,2020-10-15,,0,1.0,1.0,2020.0
